File,Zone,DayType,LTE800,GSM900,LTE1800,UMTS2100,LTE2600,NR3500,E_total,Dominant_Band
P042,Sheshi_Karl_Topia,Weekday,0.384966667,0.299675,0.439175,0.304842857,0.331075,0.138134634,0.807774796,LTE1800
P043,Sheshi_Karl_Topia,Weekday,0.446933333,0.220225,0.3807875,0.175311429,0.308025,0.122336341,0.730634829,LTE800
P044,Sheshi_Karl_Topia,Weekday,0.8823,0.358775,0.4863875,0.376714286,0.250945,0.162333415,1.172597448,LTE800
P045,Sheshi_Karl_Topia,Weekday,0.696733333,0.350525,0.3770875,0.318285714,0.33705,0.158660244,0.995279693,LTE800
P046,Sheshi_Karl_Topia,Weekday,0.998466667,0.6637,0.5818125,0.402628571,0.5173375,0.118468293,1.489873066,LTE800
P047,Sheshi_Karl_Topia,Weekday,1.374333333,0.331675,0.24855,0.276571429,0.228325,0.126674146,1.485007717,LTE800
P048,Sheshi_Karl_Topia,Weekday,0.8196,0.3815,0.3003125,0.204802857,0.2098875,0.102323171,1.001968568,LTE800
P049,Sheshi_Karl_Topia,Weekday,1.286,0.38295,0.43815,0.265,0.3731,0.159425122,1.492403131,LTE800
P050,Sheshi_Karl_Topia,Weekday,0.751933333,0.788475,0.434825,0.404228571,0.501675,0.238075854,1.359385155,GSM900
P051,Sheshi_Karl_Topia,Weekday,0.346033333,0.195575,0.21055625,0.15005,0.18901375,0.154937805,0.533450566,LTE800
P052,Sheshi_Karl_Topia,Weekday,1.249266667,0.896,0.19961,0.262242857,0.26181125,0.129885366,1.59922294,LTE800
P053,Sheshi_Karl_Topia,Weekday,2.113,0.3956,0.64445,0.234414286,0.3954625,0.128057561,2.294411373,LTE800
P054,Sheshi_Karl_Topia,Weekday,1.081,0.58225,0.3530875,0.27393,0.4150625,0.141497317,1.378253554,LTE800
P055,Sheshi_Karl_Topia,Weekday,0.760666667,0.500325,0.51945,0.318971429,0.30775,0.15369561,1.148408621,LTE800
P056,Sheshi_Karl_Topia,Weekday,0.5432,0.359975,0.191925,0.223008571,0.3055,0.136481463,0.789413522,LTE800
P057,Sheshi_Karl_Topia,Weekday,1.235,0.629575,0.3273,0.245657143,0.410875,0.204625854,1.516493458,LTE800
P058,Sheshi_Karl_Topia,Weekday,1.2625,0.3747,0.4287,0.3425,0.2875375,0.161945366,1.464342991,LTE800
P059,Sheshi_Karl_Topia,Weekday,1.3136,0.80675,0.3786625,0.205612857,0.4662,0.14889122,1.673787171,LTE800
P060,Sheshi_Karl_Topia,Weekday,0.916566667,0.30275,0.2538375,0.180565714,0.33756875,0.137180732,1.077757248,LTE800
P061,Sheshi_Karl_Topia,Weekday,0.5147,0.1285025,0.2481125,0.198257143,0.14799875,0.109065854,0.645053238,LTE800
P062,Sheshi_Karl_Topia,Weekday,0.617533333,0.47765,0.24005,0.212214286,0.2128675,0.104960976,0.876632891,LTE800
